			Step Name	Total Requested Memory	Total Requested Memory	Total Requested Memory	Total Requested Memory	Max Swap	Max Swap	Max Swap	Max Swap
			count	mean	std	min	max	mean	std	min	max
Pipeline	Technique	Step Name									
BATTENBERG	WGS	allelecount	7503	8.0	0.0	8.0	8.0	2.1	0.8	1.0	4.0
BATTENBERG	WGS	baflog	165	16.0	0.0	16.0	16.0	17.4	2.3	1.0	18.0
BATTENBERG	WGS	cleanuppostbaf	70	8.0	0.0	8.0	8.0	1.0	0.0	1.0	1.0
BATTENBERG	WGS	combinebafs	127	8.0	0.0	8.0	8.0	1.4	0.5	1.0	2.0
BATTENBERG	WGS	combineimpute	3265	8.0	0.0	8.0	8.0	1.6	0.5	1.0	3.0
BATTENBERG	WGS	finalise	126	8.0	0.0	8.0	8.0	1.8	0.7	1.0	3.0
BATTENBERG	WGS	fitcn	167	21.7	2.1	8.0	22.0	14.2	0.8	12.0	16.0
BATTENBERG	WGS	haplotypebafs	2768	8.0	0.0	8.0	8.0	1.5	0.5	1.0	2.0
BATTENBERG	WGS	impute	3756	8.0	0.0	8.0	8.0	5.1	1.0	1.0	8.0
BATTENBERG	WGS	imputefromaf	3673	8.0	0.0	8.0	8.0	1.9	0.6	1.0	3.0
BATTENBERG	WGS	plothaplotypes	330	8.0	0.0	8.0	8.0	1.0	0.0	1.0	1.0
BATTENBERG	WGS	refitcn	9	22.0	0.0	22.0	22.0	13.9	0.3	13.0	14.0
BATTENBERG	WGS	segmentphased	163	8.0	0.0	8.0	8.0	1.8	0.4	1.0	2.0
BATTENBERG	WGS	subclones	165	21.6	2.4	8.0	22.0	9.7	0.7	8.0	11.0
BRASS	WGS	assemble	160	8.0	0.0	8.0	8.0	1.2	0.4	1.0	4.0
BRASS	WGS	cover	3	8.0	0.0	8.0	8.0	1.0	0.0	1.0	1.0
BRASS	WGS	filter	156	8.0	0.0	8.0	8.0	3.0	0.3	1.0	4.0
BRASS	WGS	group	2	8.0	0.0	8.0	8.0	1.0	0.0	1.0	1.0
BRASS	WGS	input	154	8.0	0.0	8.0	8.0	2.0	0.2	2.0	3.0
BRASS	WGS	isize	154	8.0	0.0	8.0	8.0	1.9	0.3	1.0	2.0
BRASS	WGS	normcn	154	8.0	0.0	8.0	8.0	7.2	0.4	7.0	8.0
CAVEMAN	TGD	add	52	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	TGD	annotatevcf	933	10.0	0.0	10.0	10.0	1.0	0.0	1.0	2.0
CAVEMAN	TGD	estep	281935	9.5	1.3	3.0	10.0	2.1	0.9	1.0	7.0
CAVEMAN	TGD	flag	2838	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	TGD	merge	681	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	TGD	mstep	264870	9.5	1.3	3.0	10.0	2.0	0.9	1.0	7.0
CAVEMAN	TGD	setup	58	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	TGD	split	5875	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	TGD	vcf	370	10.0	0.0	10.0	10.0	1.3	0.7	1.0	3.0
CAVEMAN	WES	add	6	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	WES	annotatevcf	52	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	WES	estep	36765	9.6	1.7	3.0	10.0	1.3	0.5	1.0	6.0
CAVEMAN	WES	flag	64	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	WES	merge	93	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
CAVEMAN	WES	mstep	36102	9.7	1.3	3.0	10.0	1.3	0.5	1.0	6.0
CAVEMAN	WES	setup	2	10.0	0.0	10.0	10.0	1.0	0.0	1.0	1.0
