			Run Time	Run Time	Run Time	Run Time	Run Time
			count	mean	std	min	max
Pipeline	Technique	Step Name					
BATTENBERG	WGS	allelecount	8055	11458.3	8776.1	1.0	144807.0
BATTENBERG	WGS	baflog	169	4156.6	1653.1	3.0	10246.0
BATTENBERG	WGS	cleanuppostbaf	3841	5.9	5.6	0.0	59.0
BATTENBERG	WGS	combinebafs	166	59.2	24.4	1.0	148.0
BATTENBERG	WGS	combineimpute	3842	193.9	165.5	0.0	1773.0
BATTENBERG	WGS	finalise	172	937.1	678.3	2.0	4764.0
BATTENBERG	WGS	fitcn	169	2854.6	5158.2	2.0	47160.0
BATTENBERG	WGS	haplotypebafs	3838	56.0	34.1	1.0	394.0
BATTENBERG	WGS	impute	3836	4649.1	2875.3	1.0	18746.0
BATTENBERG	WGS	imputefromaf	3850	130.9	69.2	1.0	750.0
BATTENBERG	WGS	plothaplotypes	3842	11.1	10.2	1.0	115.0
BATTENBERG	WGS	refitcn	11	1645.9	1194.4	5.0	4230.0
BATTENBERG	WGS	segmentphased	165	737.3	346.2	2.0	3413.0
BATTENBERG	WGS	subclones	170	2910.8	8387.8	3.0	84539.0
BRASS	WGS	assemble	512	836.0	1069.3	3.0	6886.0
BRASS	WGS	cover	3696	1687.1	1243.2	12.0	15372.0
BRASS	WGS	create	155	3.3	5.7	0.0	37.0
BRASS	WGS	filter	170	7945.0	14844.4	3.0	161552.0
BRASS	WGS	grass	155	21.9	97.3	2.0	866.0
BRASS	WGS	group	154	213.8	294.4	33.0	2017.0
BRASS	WGS	input	154	25247.4	9502.2	9335.0	53021.0
BRASS	WGS	isize	154	641.0	312.3	165.0	1894.0
BRASS	WGS	merge	154	81.0	21.3	54.0	243.0
BRASS	WGS	normcn	154	786.0	305.7	308.0	1756.0
BRASS	WGS	split	154	22.6	138.5	0.0	1359.0
BRASS	WGS	tabix	154	43.8	76.7	4.0	948.0
CAVEMAN	TGD	add	3639	4.6	2.4	1.0	41.0
CAVEMAN	TGD	annotatevcf	3638	21.2	16.4	1.0	593.0
CAVEMAN	TGD	estep	297921	514.4	245.4	0.0	4055.0
CAVEMAN	TGD	flag	3639	743.0	487.3	2.0	5523.0
CAVEMAN	TGD	merge	7278	10.7	8.0	0.0	226.0
CAVEMAN	TGD	mstep	298314	250.3	179.9	0.0	3727.0
CAVEMAN	TGD	setup	2839	5.6	2.8	1.0	32.0
CAVEMAN	TGD	split	316680	6.7	4.9	0.0	152.0
CAVEMAN	TGD	vcf	885	28.1	23.2	0.0	230.0
CAVEMAN	WES	add	183	11.3	6.8	1.0	34.0
CAVEMAN	WES	annotatevcf	185	81.3	103.0	2.0	679.0
CAVEMAN	WES	estep	81393	471.6	315.3	1.0	7068.0
CAVEMAN	WES	flag	184	1164.6	1399.6	61.0	7970.0
CAVEMAN	WES	merge	369	125.9	195.8	1.0	1055.0
CAVEMAN	WES	mstep	82786	270.2	290.4	1.0	5903.0
CAVEMAN	WES	setup	81	7.3	6.7	1.0	25.0
CAVEMAN	WES	split	17946	12.2	17.0	0.0	401.0
CAVEMAN	WES	vcf	194	401.4	541.2	2.0	4088.0
CAVEMAN	WGS	add	81	97.9	72.9	2.0	651.0
CAVEMAN	WGS	annotatevcf	81	594.0	497.1	70.0	2448.0
CAVEMAN	WGS	estep	463515	1480.9	664.6	0.0	8157.0
CAVEMAN	WGS	flag	81	26577.3	18300.7	4272.0	111104.0
